feature,model,iv
cardinal_log,C1,0.6033
is_first_loan,C1,0.3429
credit_limit,C1,0.303
principal_log,C1,0.2258
is_full_utilisation,C1,0.2185
age,C1,0.1347
tenure,C1,0.1177
total_monthly_obligations,C1,0.1
is_medium_tenure,C1,0.0957
total_bureau_accounts,C1,0.0779
bureau_dsti,C1,0.077
distinct_lender_count,C1,0.0767
bureau_health_score,C1,0.0507
arrears_ratio,C1,0.0495
total_outstanding_debt,C1,0.0445
state_risk_tier_enc,C1,0.0352
bureau_annual_dti,C1,0.0332
distinct_enquiring_lenders,C1,0.0309
total_enquiry_count,C1,0.0309
prop_bad,C1,0.027
burden_score,C1,0.0259
salary_log,C1,0.0234
is_thin_file,C1,0.0208
product_type,C1,0.1138
channel_group,C1,0.0332
